tiempo,To,hr,ws,wd,Id,Ib,alpha,Ti
2019-05-25 00:00:00,,,,,,,,
2019-05-25 00:10:00,26.6,48.0,3.6,204.0,0.0,0.0,-49.9162117053,28.25230342251791
2019-05-25 00:20:00,26.3,48.0,3.6,178.0,0.0,0.0,-50.1954383011341,28.079758119302888
2019-05-25 00:30:00,26.1,48.0,3.3,183.0,0.0,0.0,-50.32521281211735,27.99034040675035
2019-05-25 00:40:00,25.9,47.0,3.4,202.0,0.0,0.0,-50.304067346077865,27.93013457489059
2019-05-25 00:50:00,25.9,50.0,3.0,194.0,0.0,0.0,-50.13224238063283,27.89578798013045
2019-05-25 01:00:00,25.7,49.0,2.5,199.0,0.0,0.0,-49.811673296913874,27.876376868019317
2019-05-25 01:10:00,25.7,48.0,2.5,208.0,0.0,0.0,-49.345883697387215,27.842235100675612
2019-05-25 01:20:00,25.7,48.0,3.4,197.0,0.0,0.0,-48.73979887073307,27.746164262514185
2019-05-25 01:30:00,25.7,48.0,2.4,189.0,0.0,0.0,-47.99950149109346,27.714384932456692
2019-05-25 01:40:00,25.6,48.0,2.4,185.0,0.0,0.0,-47.13195588078145,27.691631061758414
2019-05-25 01:50:00,25.5,48.0,2.3,187.0,0.0,0.0,-46.144726710230124,27.649124951683802
2019-05-25 02:00:00,25.4,49.0,2.2,185.0,0.0,0.0,-45.0457138315452,27.60528947767995
2019-05-25 02:10:00,25.4,49.0,1.9,167.0,0.0,0.0,-43.84291866255696,27.56791276083408
2019-05-25 02:20:00,25.3,50.0,2.3,168.0,0.0,0.0,-42.544250806123436,27.50091215094133
2019-05-25 02:30:00,25.1,49.0,2.6,164.0,0.0,0.0,-41.157377647560104,27.39106720874743
2019-05-25 02:40:00,25.0,50.0,2.3,164.0,0.0,0.0,-39.68961519357888,27.324488815371037
2019-05-25 02:50:00,24.9,50.0,1.6,153.0,0.0,0.0,-38.147855557675,27.3177538942592
2019-05-25 03:00:00,24.8,50.0,1.8,133.0,0.0,0.0,-36.53852507365616,27.28032830627805
2019-05-25 03:10:00,24.9,51.0,0.9,178.0,0.0,0.0,-34.86756668184543,27.27830987275371
2019-05-25 03:20:00,24.8,51.0,0.4,127.0,0.0,0.0,-33.14044060661257,27.262473640885023
2019-05-25 03:30:00,24.7,50.0,0.9,115.0,0.0,0.0,-31.362138107955236,27.20424580473079
2019-05-25 03:40:00,24.8,53.0,1.3,233.0,0.0,0.0,-29.537204006313896,27.14684568425912
2019-05-25 03:50:00,24.4,52.0,2.4,255.0,0.0,0.0,-27.669764594239677,27.02449064834838
2019-05-25 04:00:00,24.5,49.0,1.9,161.0,0.0,0.0,-25.763558374148673,26.91295570997481
2019-05-25 04:10:00,24.4,45.0,3.0,126.0,0.0,0.0,-23.82196775960007,26.814582618479108
2019-05-25 04:20:00,24.5,43.0,2.4,139.0,0.0,0.0,-21.84805044042784,26.756430712019924
2019-05-25 04:30:00,24.6,43.0,1.5,144.0,0.0,0.0,-19.844569548974107,26.80974112637628
2019-05-25 04:40:00,24.4,46.0,0.7,307.0,0.0,0.0,-17.814022092998407,26.821013093706135
2019-05-25 04:50:00,24.0,51.0,1.0,328.0,0.0,0.0,-15.75866536027264,26.76420148724369
2019-05-25 05:00:00,23.6,52.0,1.1,307.0,0.0,0.0,-13.680541169281295,26.636032199471444
2019-05-25 05:10:00,23.4,50.0,0.6,252.0,0.0,0.0,-11.581497956331617,26.5601957732117
2019-05-25 05:20:00,23.5,50.0,1.4,280.0,0.0,0.0,-9.463210765391688,26.50587656168737
2019-05-25 05:30:00,23.8,46.0,2.0,256.0,0.0,0.0,-7.327199253976767,26.449821494368763
2019-05-25 05:40:00,24.0,44.0,1.0,216.0,0.0,0.0,-5.174843854775974,26.435798033707446
2019-05-25 05:50:00,24.1,46.0,1.8,269.0,0.0,0.0,-3.0074002447725086,26.429974295385893
2019-05-25 06:00:00,23.8,47.0,2.2,263.0,0.0,0.0,-0.8260122760340322,26.36531628063691
2019-05-25 06:10:00,23.8,49.0,2.3,267.0,0.0,0.0,1.3682764814777038,26.282722032901894
2019-05-25 06:20:00,23.6,49.0,2.5,295.0,0.0,22.7936,3.574512442390635,26.164604261222397
2019-05-25 06:30:00,23.3,54.0,2.2,299.0,0.0,70.2904,5.791822820814129,26.024001811295147
2019-05-25 06:40:00,23.0,53.0,2.6,290.0,0.0,121.9037,8.019407435535273,25.92374623983443
2019-05-25 06:50:00,22.8,52.0,2.6,282.0,0.0,171.9799,10.256531394399273,25.865554172557697
2019-05-25 07:00:00,22.9,52.0,2.1,289.0,0.0,203.1204,12.502518557429367,25.86041446893735
2019-05-25 07:10:00,22.9,53.0,2.5,288.0,0.0,207.7728,14.756745688291337,25.828415439772968
2019-05-25 07:20:00,23.0,53.0,1.9,286.0,0.0,259.6361,17.018637212943226,25.857998484946553
2019-05-25 07:30:00,23.2,53.0,1.8,294.0,0.0,280.693,19.287660512620846,25.90903213081544
2019-05-25 07:40:00,23.4,52.0,1.3,300.0,0.0,298.2076,21.563321685637607,25.963155440929324
2019-05-25 07:50:00,23.7,51.0,1.5,276.0,0.0,377.9439,23.84516171878788,26.05946749204541
2019-05-25 08:00:00,24.2,48.0,1.9,260.0,0.0,640.16,26.132753014400034,26.16624688027741
2019-05-25 08:10:00,24.9,43.0,2.1,252.0,0.0,712.7675,28.425696223237306,26.29580154545099
2019-05-25 08:20:00,25.3,43.0,2.1,238.0,0.0,720.9924,30.723617336397904,26.392253452786512
2019-05-25 08:30:00,25.6,41.0,2.4,223.0,0.0,728.0959,33.02616499095581,26.45626798523577
2019-05-25 08:40:00,25.5,38.0,2.0,242.0,0.0,734.2767,35.33300794404527,26.496900192905212
2019-05-25 08:50:00,25.4,38.0,2.4,262.0,0.0,739.6888,37.64383266798719,26.512930976524558
2019-05-25 09:00:00,25.6,37.0,1.0,230.0,0.0,744.4532,39.95834101419805,26.546873495409237
2019-05-25 09:10:00,25.8,38.0,1.9,237.0,0.0,748.6661,42.27624788491486,26.59622794719974
2019-05-25 09:20:00,26.1,38.0,2.4,245.0,0.0,752.4053,44.59727883746753,26.637009474992862
2019-05-25 09:30:00,26.4,39.0,1.1,214.0,0.0,755.7336,46.92116752311578,26.72171093198576
2019-05-25 09:40:00,26.9,38.0,0.8,218.0,0.0,758.7032,49.24765282672003,26.832486165306648
